sample_reference,Animal,Pen,Diet,RFI_category,DEX_Group,Sampling_Round,Firmicutes,Bacteroidetes,Euryarchaeota,Proteobacteria,Actinobacteria,Verrucomicrobia,TM7,Spirochaetes,Cyanobacteria,Fibrobacteres,SR1,Lentisphaerae,Elusimicrobia,Planctomycetes,Tenericutes,Synergistetes,Chloroflexi,Fusobacteria,Acidobacteria,X.Thermi.,Chlamydiae
202617_R1A,202617,1,PBconc,LOW RFI,CONTROL,R1,0.323725767,0.294875557,0.142013462,0.206811804,0.011939915,0,0.001889111,0.001302203,0.015388001,0,0,0,0.000229261,0,0,0.001824918,0,0,0,0,0
202617_R3A,202617,1,PBconc,LOW RFI,CONTROL,R3,0.323035385,0.163368127,0.202353416,0.300720828,0.005694291,0,0.001160727,0.001589691,0.000487842,0,0,0,0.000210277,0,0.000521486,0.000857929,0,0,0,0,0
202617_R2A,202617,1,PBconc,LOW RFI,CONTROL,R2,0.334156643,0.223608661,0.208746325,0.132296177,0.094520182,0,0.000245924,0.00059877,0.004148623,2.14E-05,0,0,0.000556001,0,0.000502539,0.000545309,5.35E-05,0,0,0,0
205139_R3A,205139,3,PBforg,LOW RFI,DEX,R3,0.317069492,0.234060081,0.208034067,0.164440783,0.042084866,0.003585394,0.007077962,0.003898681,0.000661383,0.011684439,0.003051646,0.000232064,0.00068459,3.48E-05,0.002889201,0.000255271,0.000208858,0,4.64E-05,0,0
205139_R2A,205139,3,PBforg,LOW RFI,DEX,R2,0.345443392,0.251537877,0.207293683,0.147903995,0.022221454,0.003749654,0.00319671,0.004319878,0.002963437,0.00426804,0.003032555,0.002108101,0.000561584,0.000241913,0.000259193,0.000302391,0.000293752,0.000302391,0,0,0
205139_R1A,205139,3,PBforg,LOW RFI,DEX,R1,0.371381388,0.24881946,0.23115376,0.08237447,0.042445883,0.004347244,0.00440973,0.003249275,0.000374916,0.001338987,0.000687347,0.000276724,0.000455256,0.007542959,0.000660567,0.000133899,0.000232091,0,8.93E-05,0,0
300616_R3A,300616,3,PBforg,LOW RFI,CONTROL,R3,0.33627231,0.196606055,0.22524008,0.190254813,0.028366845,0.007450495,0.003740515,0.002580192,0.000389319,3.82E-05,0.003068749,0.000595429,0.000526726,0.002175606,0.001465671,0.000358784,0.000709935,0,0,0,6.87E-05
300616_R2A,300616,3,PBforg,LOW RFI,CONTROL,R2,0.40255499,0.341465757,0.048922614,0.114974546,0.058751961,0.013063106,0.005763135,0.002753498,0.000352192,0.007235936,0.001632888,0.000160087,0.001088592,0.000768418,0,0.000160087,0.000288157,0,0,0,0
300616_R1A,300616,3,PBforg,LOW RFI,CONTROL,R1,0.290267023,0.233377837,0.267436582,0.120921228,0.069692924,0.002376502,0.005086782,0.003404539,0.000226969,0.001108144,0.001829105,0.000547397,0.000921228,0.000173565,0.000493992,0.000320427,0,0.001481976,0,0.000333778,0
300769_R3A,300769,4,PBforg,LOW RFI,DEX,R3,0.210686829,0.257411526,0.229836711,0.2557977,0.00341826,0.00810725,0.005680158,0.005819938,0.000266853,0.01330453,0.004600038,0.001321558,0.000813266,0.000520999,0.001143656,0.00027956,0.000914925,0,0,0,0
300769_R2A,300769,4,PBforg,LOW RFI,DEX,R2,0.271495915,0.219933673,0.310339132,0.172297684,0.00486652,0.006187977,0.005628899,0.003595888,0,0,0.000991093,0.000571784,0.000546372,0.001168981,0.001168981,0.000279539,0.000673435,7.62E-05,0.000127063,0,5.08E-05
300769_R1A,300769,4,PBforg,LOW RFI,DEX,R1,0.282568086,0.238304985,0.236584407,0.184927736,0.021453151,0.009841707,0.010549602,0.00739357,3.93E-05,0.001818897,0.001248648,0.001484613,0.000983187,0.000550585,0.001061842,0.00047193,0.000668567,0,0,4.92E-05,0
300790_R3A,300790,2,PBconc,HIGH RFI,CONTROL,R3,0.218878877,0.262406164,0.177105629,0.30502511,0.001722716,0.008373443,0.002390921,0.008582257,0.000344543,0.000187933,0,0.00966809,0.001576546,0,0.002651938,0.001085833,0,0,0,0,0
300790_R2A,300790,2,PBconc,HIGH RFI,CONTROL,R2,0.2903512,0.22312451,0.20478124,0.246567131,0.006418147,0.007641031,0.008464281,0.006777819,3.20E-05,0,0,0.002118068,0.001686462,0,0.001390732,0.00064741,0,0,0,0,0
300790_R1A,300790,2,PBconc,HIGH RFI,CONTROL,R1,0.257977914,0.37245025,0.195243235,0.150775419,0.00342273,0.001227017,0.004400653,0.003284345,0.000230642,0.000249094,0,0.000202965,0.008699824,0,0.001125534,0.000710378,0,0,0,0,0
301099_R1A,301099,1,PBconc,LOW RFI,DEX,R1,0.359417795,0.265278973,0.134274982,0.1820878,0.033766335,0,0.000258236,0.000164332,0.02219266,0,0,0,0.000884263,0,0.000273887,0.001119023,0,6.26E-05,0,3.13E-05,0
301099_R3A,301099,1,PBconc,LOW RFI,DEX,R3,0.334338073,0.32816402,0.183059214,0.133113456,0.011015734,0,0.001630882,0.000589739,0.000567896,0,0,0.004754312,0.001456145,0,0.000152895,0.001135793,0,2.18E-05,0,0,0
301099_R2A,301099,1,PBconc,LOW RFI,DEX,R2,0.323477611,0.232481187,0.112009088,0.31914699,0.00703726,0,0,0,0.002584649,0,0,0,0.003110728,0,0,0.000137238,0,1.52E-05,0,0,0
